t	y	u	r
0	0.0	1.5820431197979013e-10	0.0
4	3.3790981748469354e-11	1.9942623036159085e-10	0.0
8	8.158247990553864e-11	3.2327584101548577e-10	0.0
12	1.6317581061094771e-10	5.810673943215473e-10	0.0
16	3.123773021935113e-10	1.079610917718478e-09	0.0
20	5.910051764120653e-10	2.025466504935155e-09	0.0
24	1.114502513184508e-09	3.810527761204328e-09	0.0
28	2.0997684474424163e-09	7.174393945371811e-09	0.0
32	3.955025359333228e-09	1.3510805988136295e-08	0.0
36	7.448956470334078e-09	2.5445111134087568e-08	0.0
40	1.4029192135470105e-08	4.792201545971806e-08	0.0
44	2.642210233441193e-08	9.025430961688969e-08	0.0
48	4.9762405646642276e-08	1.6998141040372626e-07	0.0
52	9.37206223248056e-08	3.2013641651349597e-07	0.0
56	1.7650983293472125e-07	6.029326166166848e-07	0.0
60	3.3243185126147913e-07	1.1355401410190013e-06	0.0
64	6.260893954399373e-07	2.1386327222997714e-06	0.0
68	1.1791527450003347e-06	4.027818803622199e-06	0.0
72	2.2207710352975932e-06	7.5858393809385315e-06	0.0
76	4.182514954899685e-06	1.4286878812180122e-05	0.0
80	7.877188178687447e-06	2.6907359351450003e-05	0.0
84	1.4835593959711174e-05	5.0676288138049676e-05	0.0
88	2.7940788406168384e-05	9.5441776575657e-05	0.0
92	5.2622608766270824e-05	0.00017975137979945146	0.0
96	9.910740216462643e-05	0.0003385368514615332	0.0
100	0.00018665507837983843	0.0006375873160215335	0.0
104	0.00035153901246558656	0.0012008074860876564	0.0
108	0.0006620750871497696	0.0022615547430298475	0.0
112	0.0012469268146086206	0.004259325424747936	0.0
116	0.0023484141167182736	0.008021850070097892	0.0
120	0.004422913036265647	0.015108044615054913	0.0
124	0.00832994470059872	0.028453911516162816	0.0
128	0.01568829822021967	0.05358900514252155	0.0
132	0.029546738891178634	0.10092747601797834	0.0
136	0.055647194287671065	0.1900829356370525	0.0
140	0.10480379047903397	0.3579949072932693	0.0
144	0.19738343755467255	0.6742338717486351	0.0
148	0.3675466921399415	1.0	0.0
152	0.5688316769759076	1.0000000000000002	0.0
