t	y	u	r
0	0.0	1.700425171098419e-10	0.0
4	3.6166051224411927e-11	2.141659670434146e-10	0.0
8	8.725513486655314e-11	3.466597327905012e-10	0.0
12	1.7434790402180477e-10	6.22194106200125e-10	0.0
16	3.3338104658494743e-10	1.1544615657357348e-09	0.0
20	6.299756751311251e-10	2.1630891798142445e-09	0.0
24	1.1865142641265274e-09	4.064262311707123e-09	0.0
28	2.2326387662627384e-09	7.64245326763977e-09	0.0
32	4.200006712893896e-09	1.4374114488595625e-08	0.0
36	7.90040407153526e-09	2.7036900315541296e-08	0.0
40	1.4860708747826906e-08	5.0855797696936446e-08	0.0
44	2.7952919177811118e-08	9.565908846944127e-08	0.0
48	5.25792138045276e-08	1.7993374799010844e-07	0.0
52	9.89010270683906e-08	3.3845364056487583e-07	0.0
56	1.8603191526264807e-07	6.366280987919377e-07	0.0
60	3.4992429516544127e-07	1.1974914749767058e-06	0.0
64	6.582043240574097e-07	2.252470238814219e-06	0.0
68	1.2380761692872334e-06	4.236875414851963e-06	0.0
72	2.3288096775151742e-06	7.969522964044548e-06	0.0
76	4.380469188660123e-06	1.4990598039506523e-05	0.0
80	8.239621509972668e-06	2.81971744869773e-05	0.0
84	1.5498650875581438e-05	5.3038621072138166e-05	0.0
88	2.9152817113152614e-05	9.976514939630383e-05	0.0
92	5.4836175900355006e-05	0.0001876573114625783	0.0
96	0.00010314633318975704	0.00035298164497792945	0.0
100	0.0001940172865048754	0.0006639551676417599	0.0
104	0.00036494469845537315	0.001248893450722556	0.0
108	0.0006864575591687529	0.002349156881778001	0.0
112	0.001291220238393305	0.0044187420888564715	0.0
116	0.0024287731728897715	0.00831161247649566	0.0
120	0.0045684995866307285	0.01563406520911392	0.0
124	0.008593304926953076	0.02940753020596554	0.0
128	0.016163926069665394	0.05531528884187056	0.0
132	0.030404193521182045	0.10404754014462832	0.0
136	0.05719000320153186	0.19571244834490398	0.0
140	0.10757386029373184	0.36813328199700096	0.0
144	0.20234542351250245	0.6924552549414374	0.0
148	0.37499999990903254	1.0	0.0
152	0.5749999999090325	1.0	0.0
156	0.7749999999090327	1.0	0.0
160	0.9749999999090329	1.0	2.0
164	1.174999999909033	1.0	2.0
168	1.3749999999090332	1.0	2.0
172	1.5749999999090334	1.0	2.0
176	1.7630318135584917	0.6924552549414361	2.0
180	1.8740194754244837	0.36813328199699863	2.0
184	1.933024374199288	0.19571244834490176	2.0
188	1.9643934292896512	0.10404754014462654	2.0
192	1.9810703093063053	0.05531528884186807	2.0
196	1.9899363183808123	0.02940753020596293	2.0
200	1.9946497969709767	0.01563406520911143	2.0
204	1.9971556460213482	0.008311612476492782	2.0
208	1.998487842475226	0.004418742088853499	2.0
212	1.9991960844148036	0.0023491568817751544	2.0
216	1.9995726104470692	0.0012488934507189093	2.0
220	1.999772784773173	0.0006639551676386477	2.0
224	1.9998792044026203	0.00035298164497471615	2.0
228	1.9999357807765852	0.0001876573114597812	2.0
232	1.999965858743475	9.976514939419807e-05	2.0
236	1.9999818492361283	5.3038621069281544e-05	2.0
240	1.9999903503378225	2.8197174483460257e-05	2.0
244	1.9999948698189656	1.499059803564345e-05	2.0
248	1.9999972725322297	7.969522961080535e-06	2.0
252	1.9999985498981148	4.2368754108769345e-06	2.0
256	1.999999228990218	2.252470233207928e-06	2.0
260	1.9999995900191836	1.197491465842225e-06	2.0
264	1.9999997819547304	6.366280839099676e-07	2.0
268	1.9999998839943378	3.384536160169607e-07	2.0
272	1.9999999382421396	1.799337050775566e-07	2.0
276	1.9999999670821562	9.565901086793853e-08	2.0
280	1.999999982414511	5.085565364912371e-08	2.0
284	1.9999999905657238	2.7036632310013904e-08	2.0
288	1.9999999948991916	1.4373611836658213e-08	2.0
292	1.9999999972030136	7.641510801209023e-09	2.0
296	1.999999998427805	4.062491785625118e-09	2.0
300	1.9999999990789465	2.1597607833455363e-09	2.0
304	1.999999999425116	1.1482028987112006e-09	2.0
308	1.9999999996091515	6.104237243269241e-10	2.0
312	1.999999999706991	3.245221086753822e-10	2.0
316	1.9999999997590059	1.7252682496243638e-10	2.0
320	1.9999999997866587	9.172047726075657e-11	2.0
324	1.9999999998013598	4.876149174030536e-11	2.0
328	1.9999999998091753	2.5922807659445003e-11	2.0
332	1.99999999981333	1.378055853191013e-11	2.0
336	1.9999999998155389	7.325318486129907e-12	2.0
340	1.9999999998167133	3.893653519263986e-12	2.0
344	1.9999999998173374	2.069148728619207e-12	2.0
348	1.9999999998176692	1.098622777255699e-12	2.0
352	1.999999999817845	5.834355430663429e-13	2.0
356	1.9999999998179385	3.090423422480988e-13	2.0
360	1.999999999817988	1.6344594997719385e-13	2.0
364	1.9999999998180142	8.574787525570126e-14	2.0
368	1.9999999998180278	4.479888992950924e-14	2.0
372	1.999999999818035	2.274943629232891e-14	2.0
376	1.9999999998180384	1.0849731154803016e-14	2.0
380	1.99999999981804	4.899878586040072e-15	2.0
384	1.9999999998180409	2.099947965445745e-15	2.0
388	1.9999999998180409	0.0	2.0
392	1.9999999998180409	0.0	2.0
396	1.9999999998180409	0.0	2.0
400	1.9999999998180409	0.0	2.0
404	1.9999999998180409	0.0	2.0
408	1.9999999998180409	0.0	2.0
412	1.9999999998180409	0.0	2.0
416	1.9999999998180409	-2.099947965445745e-15	2.0
420	1.9999999998180402	-4.899878586040072e-15	2.0
424	1.9999999998180389	-1.0849731154803016e-14	2.0
428	1.999999999818036	-2.274943629232891e-14	2.0
432	1.99999999981803	-4.479888992950924e-14	2.0
436	1.9999999998180185	-8.574787525570126e-14	2.0
440	1.9999999998179963	-1.6344594997719385e-13	2.0
444	1.999999999817954	-3.090423422480988e-13	2.0
448	1.9999999998178741	-5.834355430663429e-13	2.0
452	1.999999999817724	-1.098622777255699e-12	2.0
456	1.999999999817441	-2.069148728619207e-12	2.0
460	1.999999999816908	-3.893653519263986e-12	2.0
464	1.9999999998159053	-7.325318486129907e-12	2.0
468	1.999999999814019	-1.378055853191013e-11	2.0
472	1.9999999998104714	-2.5922807659445003e-11	2.0
476	1.9999999998037978	-4.876149174030536e-11	2.0
480	1.9999999997912448	-9.172047726075657e-11	2.0
484	1.9999999997676323	-1.7252682496243638e-10	2.0
488	1.9999999997232172	-3.245221086753822e-10	2.0
492	1.9999999996396727	-6.104237243269241e-10	2.0
496	1.9999999994825262	-1.1482028987112006e-09	2.0
500	1.9999999991869346	-2.1597607833455363e-09	2.0
504	1.9999999986309296	-4.062491785625118e-09	2.0
508	1.999999997585089	-7.641510801209023e-09	2.0
512	1.9999999956178722	-1.4373611836658213e-08	2.0
516	1.9999999919175553	-2.7036632310013904e-08	2.0
520	1.9999999849572936	-5.085565364912371e-08	2.0
524	1.9999999718651067	-9.565901086793853e-08	2.0
