t	y	u	r
0	0.0	6.183955163851132e-11	0.0
4	1.31525481407004e-11	7.78859758329607e-11	0.0
8	3.17321721062266e-11	1.2607013123102003e-10	0.0
12	6.340529649333559e-11	2.2627402377656917e-10	0.0
16	1.2124105662511135e-10	4.1984432377506556e-10	0.0
20	2.291039556190057e-10	7.866530518800815e-10	0.0
24	4.315009643081546e-10	1.478054802816849e-09	0.0
28	8.119462274676933e-10	2.779339494156225e-09	0.0
32	1.527421120426731e-09	5.227450229998594e-09	0.0
36	2.873148750387044e-09	9.832539659055827e-09	0.0
40	5.404410506358761e-09	1.8494784605934083e-08	0.0
44	1.0165669259216904e-08	3.4788447275675793e-08	0.0
48	1.9121541261807276e-08	6.543670659237241e-08	0.0
52	3.596744669773863e-08	1.2308581252907364e-07	0.0
56	6.765443387823056e-08	2.3152324994307368e-07	0.0
60	1.272573582669021e-07	4.354930588075435e-07	0.0
64	2.393698998230353e-07	8.191583611843619e-07	0.0
68	4.502525398020989e-07	1.5408292023425503e-06	0.0
72	8.469208099050731e-07	2.8982852950299583e-06	0.0
76	1.5930501100384901e-06	5.4516474897711085e-06	0.0
80	2.9965123341393544e-06	1.0254497859621627e-05	0.0
84	5.636411630678597e-06	1.9288614414636223e-05	0.0
88	1.0602037478146303e-05	3.6281703027433286e-05	0.0
92	1.9942333181635927e-05	6.824554352508264e-05	0.0
96	3.7511341904511803e-05	0.00012836922807934583	0.0
100	7.055848273424355e-05	0.00024146131551626307	0.0
104	0.00013271984506530097	0.0004541864725930133	0.0
108	0.0002496447853123764	0.0008543205003477745	0.0
112	0.00046957950262071385	0.001606968858292018	0.0
116	0.0008832746456354069	0.0030226933691385595	0.0
120	0.001661431334349598	0.005685657912216925	0.0
124	0.003125136776424677	0.010694669272380669	0.0
128	0.0058783530016817175	0.020116572718847644	0.0
132	0.011057126930589342	0.03783908484180764	0.0
136	0.020798352178609737	0.07117496412915485	0.0
140	0.03912150561903918	0.133879440794226	0.0
144	0.07358718559802846	0.25182597401594925	0.0
148	0.13841680678065071	0.4736822981398094	0.0
152	0.2603607169325593	0.890991965573816	0.0
156	0.4897360696166003	1.6759475408616145	0.0
160	0.921188959337676	3.1524416248929623	2.0
164	1.4264665532603191	1.6759475408616151	2.0
168	1.6950896847087502	0.8909919655738167	2.0
172	1.8378990782323592	0.47368229813981017	2.0
176	1.9138215156211744	0.2518259740159499	2.0
180	1.9541845222612502	0.13387944079422687	2.0
184	1.9756428995349333	0.07117496412915579	2.0
188	1.9870509187473213	0.03783908484180878	2.0
192	1.9931158182823774	0.02011657271884875	2.0
