pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
51901.0,49235.0,50332.0,47600.0
52964.0,48632.0,48619.0,47609.0
51278.0,49824.0,50182.0,45189.0
49897.0,49344.0,50413.0,45025.0
49164.0,47132.0,50778.0,46714.0
50260.0,50192.0,50493.0,42865.0
50776.0,46140.0,49265.0,47906.0
47742.0,49024.0,51726.0,45017.0
52190.0,47241.0,47410.0,46463.0
36382.0,56795.0,57592.0,30462.0
46838.0,49705.0,51680.0,42742.0
45024.0,49239.0,52791.0,42381.0
47491.0,48127.0,50258.0,43093.0
48436.0,46411.0,48943.0,44586.0
49638.0,46410.0,47160.0,43753.0
48176.0,45487.0,48507.0,43481.0
51650.0,43240.0,43063.0,45303.0
48413.0,44230.0,46488.0,43767.0
51114.0,43913.0,42941.0,43544.0
35209.0,55640.0,55355.0,24588.0
46003.0,47633.0,48312.0,39870.0
47588.0,45965.0,47121.0,40439.0
48384.0,46860.0,45005.0,41112.0
46419.0,46288.0,46461.0,41104.0
47264.0,44163.0,46239.0,42712.0
48145.0,43440.0,45299.0,43319.0
46191.0,45059.0,47057.0,41599.0
47092.0,42826.0,46424.0,43956.0
48289.0,41861.0,44231.0,45055.0
31354.0,54581.0,55396.0,26671.0
45097.0,46670.0,47547.0,39108.0
45956.0,44183.0,46859.0,42342.0
46734.0,45237.0,46203.0,41123.0
46020.0,45418.0,45225.0,42338.0
47398.0,44453.0,45775.0,42041.0
47601.0,42525.0,45796.0,44276.0
47758.0,43184.0,45286.0,42632.0
48179.0,42111.0,41899.0,45302.0
49531.0,41141.0,42056.0,44425.0
48817.0,42365.0,43402.0,42979.0
33280.0,54772.0,55045.0,24420.0
42741.0,48361.0,49020.0,36529.0
43666.0,46249.0,47224.0,41329.0
45378.0,47714.0,46822.0,38099.0
46200.0,45714.0,46316.0,39951.0
46478.0,43397.0,45884.0,43348.0
48431.0,45015.0,43991.0,41528.0
47328.0,43424.0,45393.0,43465.0
49017.0,43990.0,43768.0,43133.0
46800.0,41986.0,45820.0,44050.0
43933.0,43775.0,47568.0,41122.0
42711.0,43957.0,46968.0,40492.0
40830.0,45627.0,48875.0,37383.0
44340.0,45095.0,45804.0,38770.0
44091.0,40853.0,45522.0,42474.0
45569.0,43725.0,44753.0,39786.0
46049.0,39639.0,42742.0,42956.0
46830.0,40704.0,42104.0,41904.0
45633.0,39342.0,43200.0,42581.0
45075.0,38700.0,42735.0,42503.0
28342.0,52293.0,54000.0,22609.0
41616.0,45736.0,46358.0,34834.0
43343.0,43100.0,45177.0,37878.0
43489.0,40791.0,43761.0,39816.0
41289.0,40267.0,44475.0,38809.0
36908.0,37401.0,47236.0,38384.0
40701.0,40664.0,43929.0,35473.0
45397.0,37491.0,39043.0,40061.0
42722.0,36256.0,42148.0,40216.0
39384.0,33447.0,43953.0,41896.0
34243.0,48063.0,48524.0,25968.0
40928.0,37893.0,43131.0,39065.0
43201.0,40629.0,41229.0,36737.0
41266.0,38215.0,42674.0,38529.0
42245.0,41386.0,42507.0,36026.0
45454.0,40533.0,40148.0,38455.0
44121.0,39987.0,42182.0,39058.0
41577.0,38287.0,45562.0,40422.0
40523.0,42641.0,45867.0,36339.0
43769.0,40215.0,44790.0,38997.0
45009.0,43434.0,43807.0,38427.0
42830.0,42129.0,46874.0,40784.0
45337.0,41128.0,47364.0,38583.0
46481.0,43649.0,45056.0,41218.0
46161.0,43101.0,45955.0,42229.0
45495.0,43153.0,47178.0,42925.0
47159.0,45570.0,46930.0,42158.0
46528.0,46487.0,48484.0,42308.0
48191.0,47983.0,47745.0,41782.0
50373.0,46242.0,48196.0,44317.0
49760.0,49824.0,48459.0,42546.0
50822.0,49068.0,48540.0,45176.0
52040.0,52170.0,48812.0,44104.0
52829.0,50713.0,51834.0,44764.0
46703.0,54399.0,53929.0,49386.0
52782.0,53550.0,53516.0,46820.0
53734.0,53326.0,54004.0,48857.0
53160.0,54036.0,54648.0,49807.0
52815.0,56531.0,55717.0,48670.0
48806.0,57997.0,58141.0,50950.0
54794.0,55724.0,57103.0,51189.0
55914.0,56700.0,56429.0,52146.0
56780.0,57660.0,56887.0,52669.0
56248.0,58160.0,57814.0,52457.0
57135.0,58433.0,58170.0,53304.0
58887.0,58732.0,57593.0,53424.0
58281.0,58557.0,58285.0,54785.0
58334.0,59073.0,59234.0,55438.0
59079.0,57566.0,59833.0,56016.0
59280.0,58353.0,58435.0,56361.0
59972.0,57301.0,57770.0,56917.0
58680.0,59378.0,58330.0,56627.0
59118.0,59814.0,57975.0,55492.0
